# ../futhark-benchmarks/rodinia/bfs/bfs_parallel_mapwrite_more.fut
## clean
dataset data/4096nodes.in: 3375.10us (average; relative standard deviation: 0.24)
dataset data/65536nodes.in: 10285.70us (average; relative standard deviation: 0.04)
dataset data/1Mnodes.in: 100246.10us (average; relative standard deviation: 0.02)
dataset data/high_edge_variance_100K.in: 66672.20us (average; relative standard deviation: 0.04)
dataset data/few_nodes_many_edges_1000n_1000e.in: 3229.20us (average; relative standard deviation: 0.01)
dataset data/higher_edge_variance_5K.in: 42371.20us (average; relative standard deviation: 0.04)
## fusion
dataset data/4096nodes.in: 2305.70us (average; relative standard deviation: 0.01)
dataset data/65536nodes.in: 8518.90us (average; relative standard deviation: 0.04)
dataset data/1Mnodes.in: 81997.50us (average; relative standard deviation: 0.02)
dataset data/high_edge_variance_100K.in: 57028.40us (average; relative standard deviation: 0.05)
dataset data/few_nodes_many_edges_1000n_1000e.in: 3011.70us (average; relative standard deviation: 0.01)
dataset data/higher_edge_variance_5K.in: 34730.50us (average; relative standard deviation: 0.04)
## elimination
dataset data/4096nodes.in: 2774.70us (average; relative standard deviation: 0.00)
dataset data/65536nodes.in: 9521.80us (average; relative standard deviation: 0.00)
dataset data/1Mnodes.in: 97587.30us (average; relative standard deviation: 0.01)
dataset data/high_edge_variance_100K.in: 65778.80us (average; relative standard deviation: 0.04)
dataset data/few_nodes_many_edges_1000n_1000e.in: 2961.80us (average; relative standard deviation: 0.01)
dataset data/higher_edge_variance_5K.in: 41214.20us (average; relative standard deviation: 0.04)
## fusion-elimination
dataset data/4096nodes.in: 2568.60us (average; relative standard deviation: 0.02)
dataset data/65536nodes.in: 8054.30us (average; relative standard deviation: 0.07)
dataset data/1Mnodes.in: 81087.10us (average; relative standard deviation: 0.02)
dataset data/high_edge_variance_100K.in: 56498.40us (average; relative standard deviation: 0.04)
dataset data/few_nodes_many_edges_1000n_1000e.in: 2427.00us (average; relative standard deviation: 0.01)
dataset data/higher_edge_variance_5K.in: 33388.00us (average; relative standard deviation: 0.04)


# ../futhark-benchmarks/rodinia/bfs/bfs_parallel_segmented_alternate_more.fut
## clean
dataset data/4096nodes.in: 3810.50us (average; relative standard deviation: 0.01)
dataset data/65536nodes.in: 9226.30us (average; relative standard deviation: 0.08)
dataset data/1Mnodes.in: 64441.90us (average; relative standard deviation: 0.02)
dataset data/high_edge_variance_100K.in: 63200.10us (average; relative standard deviation: 0.05)
dataset data/few_nodes_many_edges_1000n_1000e.in: 7754.30us (average; relative standard deviation: 0.15)
## fusion
dataset data/4096nodes.in: 3135.20us (average; relative standard deviation: 0.04)
dataset data/65536nodes.in: 8703.20us (average; relative standard deviation: 0.10)
dataset data/1Mnodes.in: 59553.20us (average; relative standard deviation: 0.01)
dataset data/high_edge_variance_100K.in: 56735.90us (average; relative standard deviation: 0.04)
dataset data/few_nodes_many_edges_1000n_1000e.in: 7672.90us (average; relative standard deviation: 0.07)
## elimination
dataset data/4096nodes.in: 3581.80us (average; relative standard deviation: 0.00)
dataset data/65536nodes.in: 9333.90us (average; relative standard deviation: 0.00)
dataset data/1Mnodes.in: 62124.50us (average; relative standard deviation: 0.01)
dataset data/high_edge_variance_100K.in: 61757.90us (average; relative standard deviation: 0.05)
dataset data/few_nodes_many_edges_1000n_1000e.in: 9084.60us (average; relative standard deviation: 0.10)
## fusion-elimination
dataset data/4096nodes.in: 3401.70us (average; relative standard deviation: 0.03)
dataset data/65536nodes.in: 10394.30us (average; relative standard deviation: 0.03)
dataset data/1Mnodes.in: 63244.20us (average; relative standard deviation: 0.09)
dataset data/high_edge_variance_100K.in: 56216.90us (average; relative standard deviation: 0.05)
dataset data/few_nodes_many_edges_1000n_1000e.in: 8439.40us (average; relative standard deviation: 0.04)


# ../futhark-benchmarks/rodinia/bfs/bfs_parallel_segmented_more.fut
## clean
dataset data/4096nodes.in: 13102.30us (average; relative standard deviation: 0.04)
dataset data/65536nodes.in: 28692.30us (average; relative standard deviation: 0.08)
